rank,num_parameters,best_epoch,best_val_ssim,best_val_psnr,best_val_mae,best_val_loss,config_id,experiment_name,seed,model_name,channels,normalization,activation,group_count,upsampling,lr,weight_decay,loss_name,l1_weight,ssim_weight,epochs,validation_rate,batch_size,num_workers,mixed_precision,deterministic,monitor,mode_monitor,min_delta,patience,tie_breaker,mode_tie_breaker
36,1927075,94,0.848078191280365,20.92675018310547,0.08035505563020706,0.09466841600943303,1936ca8a0c17,unet_grid_seed_0_screening_part_13,0,unet,"[32, 64, 128, 256]",instance,leaky_relu,8,transposed,0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
37,7763107,113,0.8476139307022095,20.663917541503906,0.08285753428936005,0.09676326239022656,2c4bf0a347fe,unet_grid_seed_0_screening_part_13,0,unet,"[32, 64, 128, 256, 512]",instance,leaky_relu,8,transposed,0.0003,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
38,1927075,93,0.8466538786888123,20.800397872924805,0.08219027519226074,0.09642145620739978,d818606a6540,unet_grid_seed_0_screening_part_14,0,unet,"[32, 64, 128, 256]",instance,leaky_relu,8,transposed,0.0005,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
39,7763107,114,0.8462499380111694,20.77036476135254,0.0825941264629364,0.09682531806005948,5c6ebb7d6fda,unet_grid_seed_0_screening_part_15,0,unet,"[32, 64, 128, 256, 512]",instance,leaky_relu,8,transposed,0.001,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
40,488035,77,0.8462375402450562,21.13355255126953,0.08095809072256088,0.09551897763774014,8f00534edc3e,unet_grid_seed_0_screening_part_18,0,unet,"[16, 32, 64, 128]",group,leaky_relu,8,bilinear,0.001,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
41,482771,56,0.84615558385849,21.09905242919922,0.08020702749490738,0.09493450172569441,0f7f38d25591,unet_grid_seed_0_screening_part_20,0,unet,"[16, 32, 64, 128]",group,leaky_relu,8,transposed,0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
42,1948355,69,0.8456864356994629,20.88990592956543,0.0817011371254921,0.09622362450413081,c7c1d2d7ba00,unet_grid_seed_0_screening_part_11,0,unet,"[32, 64, 128, 256]",instance,leaky_relu,8,bilinear,0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
43,7763107,97,0.8456290364265442,20.77735137939453,0.08262701332569122,0.09697578912195952,a26de6335f33,unet_grid_seed_0_screening_part_15,0,unet,"[32, 64, 128, 256, 512]",instance,leaky_relu,8,transposed,0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
44,482771,72,0.845068097114563,21.11232566833496,0.08074428886175156,0.09558182090952777,f1ac9264ad63,unet_grid_seed_0_screening_part_21,0,unet,"[16, 32, 64, 128]",group,leaky_relu,8,transposed,0.001,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
45,488035,71,0.8449286818504333,21.191665649414062,0.0796721875667572,0.094752032039822,6579981cc3ee,unet_grid_seed_0_screening_part_16,0,unet,"[16, 32, 64, 128]",group,leaky_relu,8,bilinear,0.0003,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
46,488035,73,0.844706654548645,21.124685287475586,0.08055640012025833,0.09550379734972249,2d467c3751a1,unet_grid_seed_0_screening_part_17,0,unet,"[16, 32, 64, 128]",group,leaky_relu,8,bilinear,0.0005,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
47,1927075,71,0.844596803188324,20.827524185180664,0.08223888278007507,0.09687176066032355,5853e56017b0,unet_grid_seed_0_screening_part_15,0,unet,"[32, 64, 128, 256]",instance,leaky_relu,8,transposed,0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
48,7849667,91,0.8438680171966553,20.809741973876953,0.08144152909517288,0.0963796191457389,0862d8cedc2e,unet_grid_seed_0_screening_part_11,0,unet,"[32, 64, 128, 256, 512]",instance,leaky_relu,8,bilinear,0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
49,1927075,99,0.8436130881309509,20.606863021850586,0.08391214162111282,0.09840709780869276,91f58e23ac0a,unet_grid_seed_0_screening_part_15,0,unet,"[32, 64, 128, 256]",instance,leaky_relu,8,transposed,0.001,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
50,7849667,93,0.8421184420585632,20.605796813964844,0.08424980193376541,0.09897613633370055,cb9b57a85d68,unet_grid_seed_0_screening_part_12,0,unet,"[32, 64, 128, 256, 512]",instance,leaky_relu,8,bilinear,0.001,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
51,7763107,72,0.8416571617126465,20.520809173583984,0.08492816984653473,0.09961109597613846,b37e07901221,unet_grid_seed_0_screening_part_14,0,unet,"[32, 64, 128, 256, 512]",instance,leaky_relu,8,transposed,0.0005,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
52,7849667,60,0.8410739302635193,20.617504119873047,0.08422253280878067,0.09916323380193849,93cdb405674c,unet_grid_seed_0_screening_part_11,0,unet,"[32, 64, 128, 256, 512]",instance,leaky_relu,8,bilinear,0.0005,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
53,1948355,64,0.8410072922706604,20.604290008544922,0.08382423222064972,0.09885793060496234,5d3866d1c3ab,unet_grid_seed_0_screening_part_10,0,unet,"[32, 64, 128, 256]",instance,leaky_relu,8,bilinear,0.0003,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
54,7760163,189,0.84078449010849,20.079866409301758,0.08819165080785751,0.10239641508762387,16ddd9ac9eef,unet_grid_seed_0_screening_part_04,0,unet,"[32, 64, 128, 256, 512]",none,leaky_relu,8,transposed,0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
